"Logger","Week","Temp"
"LowBarnacleBench","2015-15",12.8
"LowBarnacleBench","2015-16",10.85
"LowBarnacleBench","2015-17",11.46
"LowBarnacleBench","2015-18",11.11
"LowBarnacleBench","2015-19",11.3
"LowBarnacleBench","2015-2",11.94
"LowBarnacleBench","2015-20",10.68
"LowBarnacleBench","2015-21",11.01
"LowBarnacleBench","2015-22",10.72
"LowBarnacleBench","2015-23",11.49
"LowBarnacleBench","2015-24",10.14
"LowBarnacleBench","2015-25",12.57
"LowBarnacleBench","2015-26",11.07
"LowBarnacleBench","2015-27",13.02
"LowBarnacleBench","2015-28",14.49
"LowBarnacleBench","2015-29",14.03
"LowBarnacleBench","2015-3",11.92
"LowBarnacleBench","2015-30",14.01
"LowBarnacleBench","2015-31",11.78
"LowBarnacleBench","2015-32",13.8
"LowBarnacleBench","2015-33",14.24
"LowBarnacleBench","2015-34",12.08
"LowBarnacleBench","2015-35",14.76
"LowBarnacleBench","2015-36",15.39
"LowBarnacleBench","2015-37",12.42
"LowBarnacleBench","2015-38",12.6
"LowBarnacleBench","2015-39",11.45
"LowBarnacleBench","2015-4",12.41
"LowBarnacleBench","2015-40",12.14
"LowBarnacleBench","2015-41",13.38
"LowBarnacleBench","2015-42",13.19
"LowBarnacleBench","2015-43",12.97
"LowBarnacleBench","2015-44",14.06
"LowBarnacleBench","2015-45",13.06
"LowBarnacleBench","2015-46",12.79
"LowBarnacleBench","2015-47",11.52
"LowBarnacleBench","2015-48",10.8
"LowBarnacleBench","2015-49",12.2
"LowBarnacleBench","2015-5",12.43
"LowBarnacleBench","2015-50",12.04
"LowBarnacleBench","2015-51",11.47
"LowBarnacleBench","2015-52",9.99
"LowBarnacleBench","2015-53",9.95
"LowBarnacleBench","2015-6",12.48
"LowBarnacleBench","2015-7",12.7
"LowBarnacleBench","2015-8",11.46
"LowBarnacleBench","2015-9",11.41
"LowBarnacleBench","2016-1",10.33
"LowBarnacleBench","2016-10",11.79
"LowBarnacleBench","2016-11",11.67
"LowBarnacleBench","2016-12",12.04
"LowBarnacleBench","2016-13",12.27
"LowBarnacleBench","2016-14",12.48
"LowBarnacleBench","2016-15",13.31
"LowBarnacleBench","2016-16",13.38
"LowBarnacleBench","2016-17",13.12
"LowBarnacleBench","2016-18",13.06
"LowBarnacleBench","2016-19",11.73
"LowBarnacleBench","2016-2",10.76
"LowBarnacleBench","2016-20",11.94
"LowBarnacleBench","2016-21",12.81
"LowBarnacleBench","2016-22",14.25
"LowBarnacleBench","2016-23",12.07
"LowBarnacleBench","2016-24",12.82
"LowBarnacleBench","2016-25",13.83
"LowBarnacleBench","2016-26",13.03
"LowBarnacleBench","2016-27",12.04
"LowBarnacleBench","2016-28",14.74
"LowBarnacleBench","2016-29",14.02
"LowBarnacleBench","2016-3",10.98
"LowBarnacleBench","2016-30",13.41
"LowBarnacleBench","2016-31",11.32
"LowBarnacleBench","2016-32",11.98
"LowBarnacleBench","2016-33",10.65
"LowBarnacleBench","2016-34",11.25
"LowBarnacleBench","2016-35",12.24
"LowBarnacleBench","2016-36",13.6
"LowBarnacleBench","2016-37",10.81
"LowBarnacleBench","2016-38",11.62
"LowBarnacleBench","2016-39",11.67
"LowBarnacleBench","2016-4",11.13
"LowBarnacleBench","2016-40",11.49
"LowBarnacleBench","2016-41",12.62
"LowBarnacleBench","2016-42",13.25
"LowBarnacleBench","2016-43",13.49
"LowBarnacleBench","2016-44",13.73
"LowBarnacleBench","2016-45",14.12
"LowBarnacleBench","2016-46",14.13
"LowBarnacleBench","2016-47",13.64
"LowBarnacleBench","2016-48",13.02
"LowBarnacleBench","2016-49",11.86
"LowBarnacleBench","2016-5",11
"LowBarnacleBench","2016-50",10.76
"LowBarnacleBench","2016-51",10.12
"LowBarnacleBench","2016-52",10.13
"LowBarnacleBench","2016-53",9.72
"LowBarnacleBench","2016-6",11.28
"LowBarnacleBench","2016-7",11.68
"LowBarnacleBench","2016-8",11.21
"LowBarnacleBench","2016-9",11.73
"LowBarnacleBench","2017-1",6.86
"LowBarnacleBench","2017-10",9.99
"LowBarnacleBench","2017-11",10.88
"LowBarnacleBench","2017-12",11.06
"LowBarnacleBench","2017-13",11.03
"LowBarnacleBench","2017-14",11.11
"LowBarnacleBench","2017-15",10.69
"LowBarnacleBench","2017-16",11.79
"LowBarnacleBench","2017-17",11.71
"LowBarnacleBench","2017-18",12.43
"LowBarnacleBench","2017-19",11.73
"LowBarnacleBench","2017-2",8.57
"LowBarnacleBench","2017-20",13.73
"LowBarnacleBench","2017-21",14.39
"LowBarnacleBench","2017-22",16.99
"LowBarnacleBench","2017-23",11.54
"LowBarnacleBench","2017-24",14.3
"LowBarnacleBench","2017-25",12.76
"LowBarnacleBench","2017-26",12.79
"LowBarnacleBench","2017-27",10.91
"LowBarnacleBench","2017-28",12.14
"LowBarnacleBench","2017-29",14.4
"LowBarnacleBench","2017-3",9.53
"LowBarnacleBench","2017-30",11.59
"LowBarnacleBench","2017-31",10.49
"LowBarnacleBench","2017-32",11.45
"LowBarnacleBench","2017-33",11.33
"LowBarnacleBench","2017-34",10.5
"LowBarnacleBench","2017-35",10.83
"LowBarnacleBench","2017-36",11.21
"LowBarnacleBench","2017-37",11.31
"LowBarnacleBench","2017-38",12.44
"LowBarnacleBench","2017-39",13.11
"LowBarnacleBench","2017-4",9.99
"LowBarnacleBench","2017-40",12.27
"LowBarnacleBench","2017-41",11.44
"LowBarnacleBench","2017-42",11.55
"LowBarnacleBench","2017-43",12
"LowBarnacleBench","2017-44",11.43
"LowBarnacleBench","2017-45",10.75
"LowBarnacleBench","2017-46",11.2
"LowBarnacleBench","2017-47",11.38
"LowBarnacleBench","2017-48",11.21
"LowBarnacleBench","2017-49",10.02
"LowBarnacleBench","2017-5",9.68
"LowBarnacleBench","2017-50",10.41
